date,high,avg,low
1/1/2001,70,66,66
1/2/2001,75,70,64
1/3/2001,73,70,68
1/4/2001,73,70,66
1/5/2001,71,68,66
1/6/2001,77,72,68
1/7/2001,77,72,68
1/8/2001,75,70,66
1/9/2001,77,72,66
1/10/2001,78,73,68
1/11/2001,78,73,68
1/12/2001,78,73,68
1/13/2001,77,73,69
1/14/2001,75,72,68
1/15/2001,75,70,66
1/16/2001,77,72,66
1/17/2001,78,73,68
1/18/2001,77,72,68
1/19/2001,78,72,66
1/20/2001,77,72,68
1/21/2001,77,72,68
1/22/2001,75,72,68
1/23/2001,77,72,68
1/24/2001,75,70,66
1/25/2001,75,72,68
1/26/2001,77,73,69
1/27/2001,75,70,66
1/28/2001,77,72,66
1/29/2001,75,70,66
1/30/2001,75,70,66
1/31/2001,77,72,68
2/1/2001,77,72,68
2/2/2001,77,72,68
2/3/2001,77,72,68
2/4/2001,80,74,69
2/5/2001,77,72,68
2/6/2001,75,72,68
2/7/2001,78,74,69
2/8/2001,78,73,68
2/9/2001,77,72,68
2/10/2001,77,72,68
2/11/2001,78,74,69
2/12/2001,78,73,68
2/13/2001,78,73,68
2/14/2001,82,75,68
2/15/2001,80,74,68
2/16/2001,80,76,71
2/17/2001,82,75,68
2/18/2001,82,76,71
2/19/2001,84,76,69
2/20/2001,84,78,71
2/21/2001,78,76,73
2/22/2001,80,76,71
2/23/2001,80,76,71
2/24/2001,80,74,69
2/25/2001,80,74,69
2/26/2001,84,76,69
2/27/2001,78,73,68
2/28/2001,78,72,66
3/1/2001,75,70,64
3/2/2001,78,73,68
3/3/2001,84,76,69
3/4/2001,80,74,69
3/5/2001,75,72,68
3/6/2001,80,74,68
3/7/2001,78,73,68
3/8/2001,80,74,68
3/9/2001,77,73,69
3/10/2001,77,72,68
3/11/2001,78,73,68
3/12/2001,78,73,68
3/13/2001,73,70,66
3/14/2001,77,72,66
3/15/2001,77,72,68
3/16/2001,82,75,68
3/17/2001,78,72,66
3/18/2001,78,73,68
3/19/2001,84,78,71
3/20/2001,84,76,68
3/21/2001,78,74,69
3/22/2001,78,74,69
3/23/2001,80,73,66
3/24/2001,77,72,68
3/25/2001,73,70,66
3/26/2001,75,70,66
3/27/2001,73,70,66
3/28/2001,75,70,64
3/29/2001,77,72,66
3/30/2001,77,72,66
3/31/2001,78,72,66
4/1/2001,75,70,66
4/2/2001,77,70,64
4/3/2001,75,70,66
4/4/2001,78,72,66
4/5/2001,77,72,68
4/6/2001,75,70,66
4/7/2001,75,72,68
4/8/2001,75,70,66
4/9/2001,77,72,66
4/10/2001,73,70,66
4/11/2001,73,70,66
4/12/2001,80,74,68
4/13/2001,78,73,68
4/14/2001,73,70,66
4/15/2001,71,68,66
4/16/2001,69,68,66
4/17/2001,77,70,64
4/18/2001,77,72,66
4/19/2001,75,70,66
4/20/2001,77,70,64
4/21/2001,77,72,66
4/22/2001,71,68,64
4/23/2001,71,68,64
4/24/2001,71,68,64
4/25/2001,69,66,62
4/26/2001,68,65,62
4/27/2001,68,65,62
4/28/2001,68,65,62
4/29/2001,69,66,62
4/30/2001,68,65,62
5/1/2001,66,64,62
5/2/2001,73,68,62
5/3/2001,77,70,62
5/4/2001,71,66,62
5/5/2001,73,68,64
5/6/2001,69,66,62
5/7/2001,69,66,64
5/8/2001,69,66,64
5/9/2001,66,65,64
5/10/2001,64,64,64
5/11/2001,69,66,62
5/12/2001,69,66,62
5/13/2001,69,66,64
5/14/2001,68,65,62
5/15/2001,68,65,60
5/16/2001,64,62,60
5/17/2001,62,61,60
5/18/2001,66,63,60
5/19/2001,64,62,60
5/20/2001,68,64,60
5/21/2001,64,62,60
5/22/2001,64,62,60
5/23/2001,62,60,59
5/24/2001,68,64,59
5/25/2001,66,62,59
5/26/2001,66,63,59
5/27/2001,62,60,57
5/28/2001,62,60,59
5/29/2001,64,62,60
5/30/2001,64,62,60
5/31/2001,66,63,60
6/1/2001,64,62,60
6/2/2001,68,64,60
6/3/2001,66,62,59
6/4/2001,64,62,60
6/5/2001,66,63,60
6/6/2001,64,62,60
6/7/2001,62,61,60
6/8/2001,62,61,60
6/9/2001,66,63,60
6/10/2001,64,62,60
6/11/2001,64,62,59
6/12/2001,66,62,59
6/13/2001,66,63,60
6/14/2001,66,62,59
6/15/2001,64,62,60
6/16/2001,62,61,60
6/17/2001,62,61,60
6/18/2001,62,61,60
6/19/2001,62,60,59
6/20/2001,62,60,59
6/21/2001,62,60,57
6/22/2001,60,60,59
6/23/2001,60,60,59
6/24/2001,62,60,59
6/25/2001,62,60,59
6/26/2001,62,60,59
6/27/2001,62,61,60
6/28/2001,64,62,59
6/29/2001,64,62,59
6/30/2001,64,62,59
7/1/2001,62,60,59
7/2/2001,62,60,59
7/3/2001,62,60,59
7/4/2001,64,62,59
7/5/2001,62,60,59
7/6/2001,66,62,59
7/7/2001,62,60,59
7/8/2001,62,60,59
7/9/2001,62,60,59
7/10/2001,62,60,59
7/11/2001,62,60,59
7/12/2001,62,60,59
7/13/2001,62,60,59
7/14/2001,64,60,57
7/15/2001,60,60,59
7/16/2001,60,58,57
7/17/2001,60,58,57
7/18/2001,64,60,57
7/19/2001,62,60,59
7/20/2001,60,58,57
7/21/2001,64,62,59
7/22/2001,64,62,59
7/23/2001,68,64,59
7/24/2001,62,60,59
7/25/2001,62,60,59
7/26/2001,62,60,59
7/27/2001,64,60,57
7/28/2001,64,62,59
7/29/2001,60,60,59
7/30/2001,60,58,57
7/31/2001,60,60,59
8/1/2001,62,60,59
8/2/2001,64,62,59
8/3/2001,64,62,59
8/4/2001,62,60,59
8/5/2001,62,60,59
8/6/2001,64,62,59
8/7/2001,62,60,59
8/8/2001,62,60,59
8/9/2001,60,58,57
8/10/2001,64,62,59
8/11/2001,62,60,59
8/12/2001,62,60,59
8/13/2001,60,60,59
8/14/2001,62,60,59
8/15/2001,62,60,57
8/16/2001,62,60,57
8/17/2001,60,58,57
8/18/2001,60,60,59
8/19/2001,60,58,57
8/20/2001,60,58,57
8/21/2001,60,58,57
8/22/2001,60,58,57
8/23/2001,66,62,59
8/24/2001,62,60,59
8/25/2001,62,60,59
8/26/2001,64,60,57
8/27/2001,62,60,57
8/28/2001,64,60,57
8/29/2001,64,62,59
8/30/2001,62,60,59
8/31/2001,66,62,59
9/1/2001,64,62,59
9/2/2001,66,62,59
9/3/2001,62,60,59
9/4/2001,62,60,59
9/5/2001,62,60,59
