date,high,avg,low
1/1/2001,30,26,23
1/2/2001,26,22,19
1/3/2001,30,24,19
1/4/2001,33,29,25
1/5/2001,32,28,25
1/6/2001,39,34,30
1/7/2001,42,36,30
1/8/2001,39,36,34
1/9/2001,34,30,26
1/10/2001,39,30,21
1/11/2001,45,38,30
1/12/2001,42,36,30
1/13/2001,39,34,30
1/14/2001,42,38,34
1/15/2001,37,36,34
1/16/2001,45,40,36
1/17/2001,41,38,36
1/18/2001,36,34,32
1/19/2001,39,37,35
1/20/2001,37,34,30
1/21/2001,32,26,21
1/22/2001,35,28,21
1/23/2001,37,32,26
1/24/2001,43,36,30
1/25/2001,39,32,25
1/26/2001,36,28,21
1/27/2001,39,34,30
1/28/2001,37,32,28
1/29/2001,37,32,26
1/30/2001,54,45,36
1/31/2001,48,44,39
2/1/2001,48,42,37
2/2/2001,44,38,27
2/3/2001,32,29,26
2/4/2001,37,31,25
2/5/2001,36,34,32
2/6/2001,43,40,36
2/7/2001,44,40,34
2/8/2001,41,36,32
2/9/2001,57,45,36
2/10/2001,61,44,28
2/11/2001,30,26,19
2/12/2001,35,26,16
2/13/2001,48,40,33
2/14/2001,46,42,37
2/15/2001,46,42,39
2/16/2001,39,37,35
2/17/2001,37,29,21
2/18/2001,32,26,19
2/19/2001,42,34,27
2/20/2001,55,47,39
2/21/2001,50,36,19
2/22/2001,24,20,17
2/23/2001,39,30,21
2/24/2001,34,30,26
2/25/2001,53,43,33
2/26/2001,52,44,35
2/27/2001,48,40,32
2/28/2001,35,31,27
3/1/2001,37,30,24
3/2/2001,42,36,30
3/3/2001,46,42,37
3/4/2001,36,32,28
3/5/2001,32,30,28
3/6/2001,34,30,25
3/7/2001,43,38,32
3/8/2001,39,36,33
3/9/2001,41,38,34
3/10/2001,44,39,34
3/11/2001,53,43,33
3/12/2001,46,38,30
3/13/2001,46,40,35
3/14/2001,46,44,42
3/15/2001,51,46,42
3/16/2001,55,48,41
3/17/2001,46,42,37
3/18/2001,45,40,34
3/19/2001,52,43,34
3/20/2001,53,45,37
3/21/2001,44,41,39
3/22/2001,44,42,39
3/23/2001,57,48,39
3/24/2001,52,44,34
3/25/2001,43,36,30
3/26/2001,37,32,27
3/27/2001,41,32,24
3/28/2001,48,39,30
3/29/2001,45,40,36
3/30/2001,43,40,37
3/31/2001,46,42,37
4/1/2001,43,40,37
4/2/2001,48,42,37
4/3/2001,55,45,37
4/4/2001,54,46,37
4/5/2001,64,52,42
4/6/2001,54,50,48
4/7/2001,54,48,43
4/8/2001,45,42,41
4/9/2001,78,62,45
4/10/2001,62,54,48
4/11/2001,53,49,44
4/12/2001,57,50,44
4/13/2001,73,62,51
4/14/2001,66,56,46
4/15/2001,68,58,48
4/16/2001,61,52,46
4/17/2001,52,48,45
4/18/2001,54,46,39
4/19/2001,54,44,34
4/20/2001,64,54,46
4/21/2001,68,58,52
4/22/2001,84,68,53
4/23/2001,79,70,59
4/24/2001,87,70,54
4/25/2001,55,50,46
4/26/2001,63,56,48
4/27/2001,73,59,46
4/28/2001,64,58,51
4/29/2001,66,54,45
4/30/2001,78,62,48
5/1/2001,87,74,63
5/2/2001,90,78,66
5/3/2001,90,79,69
5/4/2001,91,81,71
5/5/2001,79,72,63
5/6/2001,64,57,50
5/7/2001,62,52,43
5/8/2001,64,55,46
5/9/2001,75,63,53
5/10/2001,82,71,61
5/11/2001,84,74,64
5/12/2001,86,73,59
5/13/2001,68,61,54
5/14/2001,69,58,51
5/15/2001,71,60,50
5/16/2001,62,57,53
5/17/2001,63,56,53
5/18/2001,60,57,54
5/19/2001,80,68,59
5/20/2001,64,59,54
5/21/2001,62,55,53
5/22/2001,59,57,55
5/23/2001,60,58,55
5/24/2001,66,60,55
5/25/2001,57,55,53
5/26/2001,64,58,53
5/27/2001,70,63,57
5/28/2001,72,64,57
5/29/2001,75,64,57
5/30/2001,64,59,54
5/31/2001,69,60,51
6/1/2001,68,60,51
6/2/2001,72,64,57
6/3/2001,73,67,62
6/4/2001,73,65,57
6/5/2001,75,67,59
6/6/2001,75,68,64
6/7/2001,75,68,62
6/8/2001,80,70,62
6/9/2001,80,70,61
6/10/2001,80,70,62
6/11/2001,81,74,66
6/12/2001,82,73,64
6/13/2001,79,74,69
6/14/2001,82,75,68
6/15/2001,82,76,70
6/16/2001,82,76,70
6/17/2001,77,72,66
6/18/2001,84,75,68
6/19/2001,86,78,71
6/20/2001,88,79,70
6/21/2001,73,70,68
6/22/2001,79,73,68
6/23/2001,77,72,70
6/24/2001,75,70,64
6/25/2001,82,74,66
6/26/2001,87,78,68
6/27/2001,89,81,73
6/28/2001,91,82,75
6/29/2001,82,77,73
6/30/2001,91,82,75
7/1/2001,87,77,68
7/2/2001,73,64,55
7/3/2001,75,68,60
7/4/2001,79,72,66
7/5/2001,82,75,66
7/6/2001,72,66,61
